Gata;Område;Storlek;Slutpris;Månadskostnad;Datum;Hiss;Nyproduktion;Balkong;Uteplats;Kommun;Rooms
Vintergatan 2B;Centrala Sundbyberg;59;5500000;3261;27 mar. 2022;1;0;1;0; Sundbybergs kommun;2
Tulegatan 6C;Sundbyberg Centrum;38;3000000;2072;27 mar. 2022;0;0;1;0; Sundbybergs kommun;2
Starrbäcksgatan 8;Centrala Sundbyberg;33;11900000;6366;26 mar. 2022;1;0;1;0; Sundbybergs kommun;4
Forskningsringen 88;Sundbyberg - Ursvik;50,5;2700000;3456;26 mar. 2022;1;0;1;0; Sundbybergs kommun;2
Franstorpsvägen 4B;Centrala Sundbyberg (Lilla Alby);87;5300000;5668;25 mar. 2022;1;0;1;0; Sundbybergs kommun;4
Sundbybergs Torg 1C;Sundbyberg;138;9100000;7607;25 mar. 2022;1;0;1;0; Sundbybergs kommun;4
Lötsjövägen 83;Hallonbergen;68,8;2300000;3552;25 mar. 2022;1;0;1;0; Sundbybergs kommun;2
Gamla Enköpingsvägen 176, vån 5/6;Ursvik;51;2600000;2945;25 mar. 2022;1;0;1;0; Sundbybergs kommun;2
Mjölnerbacken 26, våning 5/5;Sundbyberg - Rissne;82;2950000;3754;25 mar. 2022;1;0;1;0; Sundbybergs kommun;3
Ursviks Allé 23;Stora Ursvik;55;3200000;2995;24 mar. 2022;1;0;1;0; Sundbybergs kommun;5
Brännarvägen 7;Sundbyberg - Ursvik;43,5;2550000;2529;24 mar. 2022;1;0;1;0; Sundbybergs kommun;2
Ursviksvägen 8;Sundbyberg Centrum;67;3800000;3072;24 mar. 2022;1;0;0;0; Sundbybergs kommun;5
Prästgårdsgatan 2;Centrala Sundbyberg;47;4000000;2154;24 mar. 2022;1;0;1;0; Sundbybergs kommun;2
Tulegatan 27A, 2 tr;Sundbyberg;57,4;4000000;3815;23 mar. 2022;1;0;0;0; Sundbybergs kommun;2
Humblegatan 29B;Lilla Alby;70;5210000;4009;23 mar. 2022;1;0;1;0; Sundbybergs kommun;3
Järnvägsgatan 78, högst upp!;Centrala Sundbyberg;81,5;5200000;2405;23 mar. 2022;1;0;1;0; Sundbybergs kommun;3
Brotorpsvägen 11;Brotorp-Järvastaden;64;3640000;3537;23 mar. 2022;1;0;1;0; Sundbybergs kommun;2
Hamngatan 18 E;Centrala Sundbyberg;45,5;4050000;3323;22 mar. 2022;1;0;1;0; Sundbybergs kommun;2
Fredsgränd 7, 3 tr;Lötsjöhöjden;89;7800000;4700;22 mar. 2022;1;0;1;0; Sundbybergs kommun;4
Starrbäcksgatan 11C;Duvbo;47;3225000;2663;22 mar. 2022;1;0;1;0; Sundbybergs kommun;2
Fredsgatan 11;Centrala Sundbyberg;76;5275000;3496;22 mar. 2022;1;0;1;0; Sundbybergs kommun;3
Milstensvägen 33;Stockholm;88;4850000;4485;22 mar. 2022;1;0;1;0; Sundbybergs kommun;4
Stenbrottsgatan 1;Centrala Sundbyberg;73;5200000;4258;21 mar. 2022;1;0;1;0; Sundbybergs kommun;3
Tallgatan 10, 1tr;Solna - Sundbyberg;61;4210000;2521;21 mar. 2022;0;0;0;0; Sundbybergs kommun;3
Sturegatan 47A;Centrala Sundbyberg;63;5300000;3514;20 mar. 2022;0;0;1;0; Sundbybergs kommun;2
Högklintavägen 20;Centrala Sundbyberg;80;5700000;3984;20 mar. 2022;1;0;0;0; Sundbybergs kommun;3
Oxenstiernas allé 20;Ursvik;87;4048500;5039;20 mar. 2022;1;0;1;0; Sundbybergs kommun;4
Hallonbergsplan 18;Hallonbergen;56;2600000;2347;19 mar. 2022;0;0;1;0; Sundbybergs kommun;2
Vegagatan 21;Centrala Sundbyberg;89;5910000;3735;18 mar. 2022;1;0;0;1; Sundbybergs kommun;3
Forskningsringen 82;Ursvik;53,5;2770000;3535;18 mar. 2022;1;0;1;0; Sundbybergs kommun;2
Vintergatan 4;Sundbyberg Centrum;83;5100000;5458;18 mar. 2022;1;0;1;0; Sundbybergs kommun;3
Stenbrottsgatan 5;Centrala Sundbyberg;73;5500000;4259;17 mar. 2022;1;0;1;0; Sundbybergs kommun;3
Råstensgatan 12;Centrala Sundbyberg;58;4675000;3410;17 mar. 2022;1;0;1;0; Sundbybergs kommun;2
Gamla Enköpingsvägen 182, vån 1;Sundbyberg - Ursvik;46;2300000;2719;17 mar. 2022;1;0;0;0; Sundbybergs kommun;2
Forskningsringen 88;Sundbyberg;37,5;2100000;2931;17 mar. 2022;1;0;1;0; Sundbybergs kommun;2
Lötsjövägen 33;Hallonbergen;68,8;2280000;3552;17 mar. 2022;1;0;1;0; Sundbybergs kommun;2
Bergsgatan 16A, vån 2;Centrala Sundbyberg;52;3600000;3507;17 mar. 2022;1;0;0;0; Sundbybergs kommun;2
Råstensgatan 1 B;Centrala Sundbyberg;45;3475000;3380;16 mar. 2022;1;0;1;0; Sundbybergs kommun;2
Hamngatan 15 A, vån 5;Bällstaån;83;8025000;4411;16 mar. 2022;1;0;1;0; Sundbybergs kommun;3
Kyrkogatan 7;Centrala Sundbyberg;67;4340000;3474;16 mar. 2022;0;0;1;0; Sundbybergs kommun;3
Franstorpsvägen 2;Lilla Alby;40;2650000;1930;16 mar. 2022;1;0;0;0; Sundbybergs kommun;2
Ågatan 22;Sundbyberg;78;6700000;3640;16 mar. 2022;1;0;1;0; Sundbybergs kommun;3
Brogatan 8;Brotorp-Järvastaden;98,5;6000000;5320;16 mar. 2022;1;0;1;0; Sundbybergs kommun;4
Tulegatan 75;Centrala Sundbyberg;43,5;3100000;2675;15 mar. 2022;0;0;1;0; Sundbybergs kommun;2
Kavaljersbacken 12;Ör;71;2950000;2682;15 mar. 2022;0;0;1;0; Sundbybergs kommun;2
Hamngatan 15A;Centrala Sundbyberg;104;10550000;5240;15 mar. 2022;1;0;1;0; Sundbybergs kommun;4
Örsvängen 5;Ör;69;2800000;3061;15 mar. 2022;1;0;1;0; Sundbybergs kommun;2
Ursviksvägen 114A;Lilla Ursvik;55;2930000;3326;15 mar. 2022;0;0;0;0; Sundbybergs kommun;2
Gamla Enköpingsvägen 174;Ursvik;42;2380000;2297;14 mar. 2022;1;0;1;0; Sundbybergs kommun;2
Tallbostigen 9;Centrala Sundbyberg;9;4295000;4261;14 mar. 2022;0;0;0;0; Sundbybergs kommun;3
Svalgränd 8C, BV;Centrala Sundbyberg;68,5;3850000;3611;13 mar. 2022;1;0;1;0; Sundbybergs kommun;3
Ågatan 26, 4tr;Centrala Sundbyberg;75;6650000;4395;13 mar. 2022;1;0;1;0; Sundbybergs kommun;3
Gamla Enköpingsvägen 174, tr 6/6;Ursvik;42;2500000;2423;12 mar. 2022;1;0;1;0; Sundbybergs kommun;2
Boplatsvägen 6;Brotorp/järvastaden;68;3950000;3913;12 mar. 2022;1;0;1;0; Sundbybergs kommun;3
Ursviks allé 41;Ursvik;59;2900000;3643;11 mar. 2022;1;0;1;0; Sundbybergs kommun;3
Sundbybergs torg 1F;Centrala Sundbyberg;87;6375000;5159;11 mar. 2022;1;0;1;0; Sundbybergs kommun;3
Vintergatan 2B, 7/7tr;Centrala Sundbyberg;46;4600000;2543;11 mar. 2022;1;0;1;0; Sundbybergs kommun;2
Skrivargatan 31;Sundbyberg/Ursvik;46;2510000;2719;11 mar. 2022;1;0;1;0; Sundbybergs kommun;2
Gamla Enköpingsvägen 176;Ursvik;44;2350000;2629;10 mar. 2022;1;0;1;0; Sundbybergs kommun;2
Brukshundsvägen 28;Brotorp - Järvastaden;44;2850000;2512;10 mar. 2022;1;0;1;0; Sundbybergs kommun;2
Fågelsången 3;Centrala Sundbyberg;78;6200000;4390;10 mar. 2022;1;0;1;0; Sundbybergs kommun;3
Valkyriavägen 7;Sundbyberg - Rissne;65;2370000;3748;10 mar. 2022;1;0;1;0; Sundbybergs kommun;2
Ursviksvägen 8, våning 5;Centrala Sundbyberg;87;6625000;4194;10 mar. 2022;1;0;1;0; Sundbybergs kommun;3
Svalgränd 8C;Sundbyberg Centrum;68;4560000;3587;10 mar. 2022;1;0;1;0; Sundbybergs kommun;3
Ågatan 9;Centrala Sundbyberg;58,5;4225000;3953;9 mar. 2022;1;0;0;1; Sundbybergs kommun;2
Ursviksvägen 10A;Centrala Sundbyberg;70;5275000;3936;9 mar. 2022;0;0;0;0; Sundbybergs kommun;3
Skrivargatan 31 vån 3;Ursvik;65;3090000;3579;9 mar. 2022;1;0;0;0; Sundbybergs kommun;3
Mjölnerbacken 32;Sundbyberg / Rissne;85;3175000;4385;9 mar. 2022;1;0;1;0; Sundbybergs kommun;4
Lavettvägen 32;Sundbyberg / Rissne;61;2500000;3294;9 mar. 2022;1;0;1;0; Sundbybergs kommun;2
Oxenstiernas allé 21;Ursvik;39;2350000;2569;8 mar. 2022;1;0;1;0; Sundbybergs kommun;2
Boplatsvägen 13;Brotorp/järvastaden;64;3680000;3809;8 mar. 2022;1;0;1;0; Sundbybergs kommun;2
Eliegatan 1B;Sundbyberg Centrum;72;5850000;4194;8 mar. 2022;1;0;1;0; Sundbybergs kommun;3
Forskningsringen 80;Ursvik;71;3950000;3969;8 mar. 2022;1;0;1;0; Sundbybergs kommun;3
Hallonbergsplan 12;Hallonbergen;62;3000000;2268;7 mar. 2022;1;0;1;0; Sundbybergs kommun;3
Oxenstiernas allé 31;Ursvik;92,3;4500000;4995;7 mar. 2022;1;0;1;0; Sundbybergs kommun;4
Forskargränd 8;Ursvik;58;3000000;3393;7 mar. 2022;1;0;0;1; Sundbybergs kommun;5
Friluftsvägen 3;Centrala Sundbyberg;41;3075000;1053;7 mar. 2022;1;0;0;0; Sundbybergs kommun;2
Brotorpsvägen 5;Brotorp - Järvastaden;56;3300000;3269;7 mar. 2022;1;0;1;0; Sundbybergs kommun;2
Vasagatan 15A;Lilla Alby;49;4050000;2858;4 mar. 2022;1;0;1;0; Sundbybergs kommun;2
Oxenstiernas allé 19;Ursvik;39;2350000;2569;4 mar. 2022;1;0;1;0; Sundbybergs kommun;2
Vinthundsgatan 1;Brotorp-Järvastaden;68;3950000;3613;4 mar. 2022;1;0;1;0; Sundbybergs kommun;3
Lavettvägen 34;Sundbyberg - Rissne;80,2;3000000;4329;4 mar. 2022;1;0;1;0; Sundbybergs kommun;3
Gamla Enköpingsvägen 182, vån 2;Sundbyberg/Ursvik;74;3500000;4195;4 mar. 2022;1;0;1;0; Sundbybergs kommun;4
Rissneleden 163;Rissne;64,5;3100000;3498;4 mar. 2022;1;0;1;0; Sundbybergs kommun;5
Forskningsringen 88;Ursvik;75,5;3950000;4464;3 mar. 2022;1;0;1;0; Sundbybergs kommun;3
Bergshöjden 52;Hallonbergen;68,8;2150000;3859;3 mar. 2022;1;0;1;0; Sundbybergs kommun;2
Lötsjövägen 69;Hallonbergen;82,1;2850000;4238;3 mar. 2022;1;0;1;0; Sundbybergs kommun;3
Vintergatan 1;Centrala Sundbyberg;53;4600000;2623;2 mar. 2022;1;0;1;0; Sundbybergs kommun;2
Kyrkogatan 9, 3 tr;Centrala Sundbyberg;69;5610000;4292;2 mar. 2022;1;0;1;0; Sundbybergs kommun;3
Tallgatan 10, 3 vån;Centrala Sundbyberg;61;4540000;2521;2 mar. 2022;1;0;1;0; Sundbybergs kommun;3
Tulegatan 2B;Centrala Sundbyberg;57;3800000;3387;2 mar. 2022;0;0;1;0; Sundbybergs kommun;2
Fredsgatan 5;Centrala Sundbyberg;56;4000000;1729;2 mar. 2022;1;0;1;0; Sundbybergs kommun;2
Trädgårdsgatan 6B;Centrala Sundbyberg;73;4375000;4197;2 mar. 2022;0;0;1;0; Sundbybergs kommun;3
Vintergatan 2B;Centrala Sundbyberg;46;3600000;2543;2 mar. 2022;1;0;0;0; Sundbybergs kommun;2
Albygatan 119;Lilla Alby;70;4500000;3829;1 mar. 2022;0;0;1;0; Sundbybergs kommun;3
Mariagatan 8 A;Centrala Sundbyberg;77;5500000;4205;1 mar. 2022;0;0;1;0; Sundbybergs kommun;3
Bergaliden 5;Bergaliden;88;7350000;5214;1 mar. 2022;1;0;1;0; Sundbybergs kommun;4
Vintergatan 2B;Sundbyberg Centrum;46;4020000;2543;1 mar. 2022;1;0;1;0; Sundbybergs kommun;2
Ladugårdsgatan 6;Ursvik;44;2430000;2629;28 feb. 2022;1;0;1;0; Sundbybergs kommun;2
Ursviks Allé 21, 3tr;Ursvik;46;2375000;2918;28 feb. 2022;1;0;1;0; Sundbybergs kommun;2
Oxenstiernas Allé 35, bv;Ursvik;87;3780000;4975;28 feb. 2022;1;0;0;1; Sundbybergs kommun;3
Fågelsången 4;Centrala Sundbyberg;38;3010000;2578;28 feb. 2022;1;0;1;0; Sundbybergs kommun;2
Ursviksvägen 2B;Centrala Sundbyberg;55;3700000;3329;28 feb. 2022;0;0;0;0; Sundbybergs kommun;2
Tulegatan 6C;Centrala Sundbyberg;4;3375000;1826;27 feb. 2022;0;0;0;0; Sundbybergs kommun;2
Högklintavägen 20;Lilla Alby;80;5250000;4158;26 feb. 2022;1;0;1;0; Sundbybergs kommun;3
Råstensgatan 13;Sundbyberg Centrum;53;3900000;3626;26 feb. 2022;1;0;1;0; Sundbybergs kommun;2
Mjölnerbacken 23;Rissne;63;2710000;2883;25 feb. 2022;1;0;1;0; Sundbybergs kommun;2
Råstensgatan 1B;Centrala Sundbyberg;71;5240000;4475;24 feb. 2022;1;0;1;0; Sundbybergs kommun;3
Starrbäcksgatan 11A;Centrala Sundbyberg;107;8000000;6063;24 feb. 2022;1;0;0;0; Sundbybergs kommun;4
Forskningsringen 80;Ursvik;35;2200000;2623;24 feb. 2022;1;0;1;0; Sundbybergs kommun;2
Brännarvägen 3, vån 1;Sundbyberg/Ursvik;47;2500000;2733;24 feb. 2022;1;0;1;0; Sundbybergs kommun;5
Forskargränd 5;Ursvik;91;4550000;4776;23 feb. 2022;1;0;1;0; Sundbybergs kommun;4
Bergshöjden 34;Hallonbergen;82,1;3050000;4605;23 feb. 2022;1;0;1;0; Sundbybergs kommun;3
Stallgatan 22;Ursvik;87;4100000;4974;23 feb. 2022;1;0;0;1; Sundbybergs kommun;4
Tulegatan 78;Sundbyberg;62;3975000;4082;23 feb. 2022;0;0;0;0; Sundbybergs kommun;3
Tulegatan 27B;Centrala Sundbyberg;38,9;2800000;2588;23 feb. 2022;1;0;0;0; Sundbybergs kommun;2
Tallgatan 11;Centrala Sundbyberg;59;4410000;2630;22 feb. 2022;1;0;1;0; Sundbybergs kommun;2
Oxenstiernas allé 12, vån 4;Sundbyberg/Ursvik;77,5;3995000;3972;22 feb. 2022;1;0;1;0; Sundbybergs kommun;3
Gamla Enköpingsvägen 180;Sundbyberg/Ursvik;44;2400000;2629;22 feb. 2022;1;0;1;0; Sundbybergs kommun;2
Gamla Enköpingsvägen 178, vån 5 av 6;Stora Ursvik;84;4000000;4438;22 feb. 2022;1;0;1;0; Sundbybergs kommun;4
Forskargränd 4;Ursvik;54;2510000;3408;22 feb. 2022;1;0;0;1; Sundbybergs kommun;5
Tallbostigen 9;Centrala Sundbyberg;88;7200000;5465;22 feb. 2022;0;0;0;1; Sundbybergs kommun;4
Vintergatan 3 A;Sundbyberg;54;3700000;2753;22 feb. 2022;1;0;1;0; Sundbybergs kommun;2
Ågatan 24;Centrala Sundbyberg;59;4325000;2753;21 feb. 2022;1;0;1;0; Sundbybergs kommun;2
Ursviksvägen 109A;Ursvik;55;2350000;3515;21 feb. 2022;0;0;1;0; Sundbybergs kommun;2
Forskningsringen 88, vån 7 av 8;Ursvik;53,5;2930000;3577;21 feb. 2022;1;0;1;0; Sundbybergs kommun;2
Mjölnerbacken 64;Rissne;63;2600000;2993;21 feb. 2022;1;0;1;0; Sundbybergs kommun;3
Mjölnerbacken 32;Rissne;48;2000000;2477;19 feb. 2022;1;0;0;1; Sundbybergs kommun;2
Hallonbergsplan 2, vån 5;Hallonbergen;58;2610000;2331;18 feb. 2022;1;0;1;0; Sundbybergs kommun;2
Granlidsvägen 18;Duvbo;45;3100000;2478;18 feb. 2022;0;0;0;0; Sundbybergs kommun;2
Sundbybergs Torg 1J;Centrala Sundbyberg;76;6250000;4329;18 feb. 2022;1;0;1;0; Sundbybergs kommun;3
Fågelsången 4, 3tr;Centrala Sundbyberg;55;4400000;3534;18 feb. 2022;1;0;1;0; Sundbybergs kommun;2
Vattugatan 14A;Centrala Sundbyberg;44;3700000;2245;17 feb. 2022;0;0;0;0; Sundbybergs kommun;2
Hallonbergsplan 18;Sundbyberg;40,5;2205000;1628;17 feb. 2022;1;0;0;0; Sundbybergs kommun;2
Rosengatan 12A;Centrala Sundbyberg;75;5100000;4412;17 feb. 2022;0;0;1;0; Sundbybergs kommun;3
Brotorps Allé 5;Brotorp-Järvastaden;97;7400000;5503;17 feb. 2022;1;0;1;0; Sundbybergs kommun;4
Vintergatan 6, ACCEPTERAT PRIS;Sundbyberg centrum;73;4000000;4857;17 feb. 2022;1;0;0;0; Sundbybergs kommun;3
Brogatan 16;Brotorp/järvastaden;95;5700000;4680;16 feb. 2022;1;0;1;1; Sundbybergs kommun;4
Vintergatan 2B;Centrala Sundbyberg;46;3930000;2543;16 feb. 2022;1;0;1;0; Sundbybergs kommun;2
Franstorpsvägen 7;Sundbyberg Centrum;72,9;4420000;4635;16 feb. 2022;1;0;1;0; Sundbybergs kommun;3
Brotorpsvägen 11;Brotorp - Järvastaden;81;4770000;4231;16 feb. 2022;1;0;1;0; Sundbybergs kommun;3
Ågatan 17, 3 tr;Sundbyberg Centrum;75;5910000;4394;16 feb. 2022;1;0;1;0; Sundbybergs kommun;3
Hamngatan 17 B;Centrala Sundbyberg;84;7400000;4820;15 feb. 2022;1;0;1;0; Sundbybergs kommun;3
Löfströms Allé 2b;Centrala Sundbyberg;45;3825000;2625;15 feb. 2022;1;0;1;0; Sundbybergs kommun;2
Brogatan 8;Brotorp;47;2950000;2708;15 feb. 2022;1;0;1;0; Sundbybergs kommun;2
Tornstigen 20A;Centrala Sundbyberg;59;3800000;4544;15 feb. 2022;0;0;1;0; Sundbybergs kommun;3
Forskningsringen 83, vån 3 av 5!;Ursvik;97,5;4625000;5418;15 feb. 2022;1;0;1;0; Sundbybergs kommun;4
Råstensgatan 14;Centrala Sundbyberg;51;4150000;2841;15 feb. 2022;1;0;1;0; Sundbybergs kommun;2
Gjuteribacken 22;Centrala Sundbyberg;40;3210000;2289;15 feb. 2022;1;0;0;0; Sundbybergs kommun;2
Mjölnerbacken 61;Rissne;73;2995000;3442;14 feb. 2022;1;0;0;0; Sundbybergs kommun;3
Tulegatan 62;Sundbyberg;53;3800000;3255;14 feb. 2022;0;0;0;0; Sundbybergs kommun;2
Rissneleden 159;Rissne;82;3800000;4269;14 feb. 2022;1;0;1;0; Sundbybergs kommun;5
Mjölnerbacken 15, 5tr;Sundbyberg / Rissne;59;2210000;2714;14 feb. 2022;1;0;1;0; Sundbybergs kommun;2
Vintergatan 1, BV;Centrala Sundbyberg;53;4200000;2623;14 feb. 2022;1;0;1;0; Sundbybergs kommun;2
Gamla Enköpingsvägen 152;Ursvik;44,5;2000000;2841;13 feb. 2022;1;0;1;0; Sundbybergs kommun;2
Valkyriavägen 7;Rissne;52;2050000;3043;12 feb. 2022;1;0;1;0; Sundbybergs kommun;2
Oxenstiernas allé 10;Ursvik;77,5;3750000;3972;11 feb. 2022;1;0;1;0; Sundbybergs kommun;3
Örsvängen 7, 3tr;Ör;74;3150000;3283;11 feb. 2022;1;0;1;0; Sundbybergs kommun;3
Trädgårdsgatan 6A, vån 2;Lilla Alby;72;4700000;4140;11 feb. 2022;0;0;0;0; Sundbybergs kommun;3
Gjuteribacken 4 C;Lilla Alby;60;4445000;3651;10 feb. 2022;0;0;1;0; Sundbybergs kommun;3
Örsvängen 15, våning 1.;Ör;77;3400000;4355;9 feb. 2022;1;0;1;0; Sundbybergs kommun;3
Forskargränd 20;Ursvik;95;4700000;4651;9 feb. 2022;1;0;1;0; Sundbybergs kommun;4
Hamngatan 11A, 2 tr;Bällstaån;80,5;6950000;4302;9 feb. 2022;1;0;1;0; Sundbybergs kommun;3
Brogatan 12, vån 2/3;Järvastaden - Västra Brotorp;80,5;4725000;4310;9 feb. 2022;1;0;1;0; Sundbybergs kommun;3
Rissneleden 165;Rissne / Sundbyberg;47;2380000;2726;9 feb. 2022;1;0;1;0; Sundbybergs kommun;2
Milstensvägen 13;Ursvik;99;4820000;5273;9 feb. 2022;1;0;1;0; Sundbybergs kommun;3
Mönstringsvägen 3;Sundbyberg/Ursvik;81;3550000;4895;9 feb. 2022;1;0;1;1; Sundbybergs kommun;3
Rosengatan 8;Sundbyberg Centrum;46;3650000;2868;9 feb. 2022;1;0;0;0; Sundbybergs kommun;2
Tulegatan 78;Centrala Sundbyberg;62;3950000;4082;8 feb. 2022;0;0;1;0; Sundbybergs kommun;3
Kavallerivägen 2B;Rissne;86;4150000;4658;8 feb. 2022;1;0;1;0; Sundbybergs kommun;4
Lavettvägen 42;Sundbyberg / Rissne;82,5;3200000;4454;8 feb. 2022;1;0;1;0; Sundbybergs kommun;3
Rosengatan 11;Centrala Sundbyberg;50;3850000;3016;8 feb. 2022;0;0;1;0; Sundbybergs kommun;2
Humblegatan 15, 4tr;Lilla Alby;75;5300000;5756;7 feb. 2022;1;0;1;0; Sundbybergs kommun;3
Bergshöjden 22;Hallonbergen;82,1;3005000;4605;7 feb. 2022;1;0;1;0; Sundbybergs kommun;5
Ursviks allé 21;Ursvik;46;2300000;2918;7 feb. 2022;1;0;1;0; Sundbybergs kommun;2
Råstensgatan 4;Centrala Sundbyberg;65,3;5275000;2950;7 feb. 2022;1;0;1;0; Sundbybergs kommun;2
Gamla Enköpingsvägen 180;Ursvik;44;2475000;2629;7 feb. 2022;1;0;1;0; Sundbybergs kommun;2
Oxenstiernas allé 20;Ursvik;54,5;2910000;3193;7 feb. 2022;1;0;1;0; Sundbybergs kommun;2
Vintergatan 2 C;Centrala Sundbyberg;55;4075000;3040;7 feb. 2022;1;0;1;0; Sundbybergs kommun;2
Gamla Enköpingsvägen 152;Sundbyberg/Ursvik;44,5;2150000;2841;7 feb. 2022;1;0;0;0; Sundbybergs kommun;2
Brännarvägen 7, vån 1;Sundbyberg/Ursvik;55;2840000;3198;7 feb. 2022;1;0;1;0; Sundbybergs kommun;2
Mjölnerbacken 66;Rissne;97;3680000;4272;5 feb. 2022;1;0;0;1; Sundbybergs kommun;4
Tritonvägen 4;Lilla Alby;65;3250000;3518;5 feb. 2022;1;0;0;0; Sundbybergs kommun;5
Trädgårdsgatan 3;Lilla Alby;48;3000000;3356;4 feb. 2022;0;0;0;0; Sundbybergs kommun;2
Logdansvägen 16;Sundbyberg/Ör;77,7;2850000;3761;4 feb. 2022;0;0;1;0; Sundbybergs kommun;3
Fredsgatan 6A;Centrala Sundbyberg;77;5475000;4770;4 feb. 2022;1;0;0;0; Sundbybergs kommun;3
Humblegatan 11;Centrala Sundbyberg (Lilla Alby);59;4210000;3371;4 feb. 2022;1;0;1;0; Sundbybergs kommun;2
Tulegatan 7, vån 3;Centrala Sundbyberg;56;3570000;3162;4 feb. 2022;1;0;1;0; Sundbybergs kommun;2
Brännarvägen 7;Ursvik;43;2375000;2529;3 feb. 2022;1;0;0;1; Sundbybergs kommun;2
Lavettvägen 35;Rissne;65;2630000;3504;3 feb. 2022;1;0;1;0; Sundbybergs kommun;2
Tulegatan 2, 2 tr.;Centrala Sundbyberg;57;3300000;3387;3 feb. 2022;0;0;1;0; Sundbybergs kommun;2
Lötgatan 1;Stockholm;73;4700000;3878;2 feb. 2022;0;0;1;0; Sundbybergs kommun;5
Franstorpsvägen 2;Centrala Sundbyberg;38;3520000;1422;2 feb. 2022;1;0;1;0; Sundbybergs kommun;2
Lötsjövägen 11;Hallonbergen;82,1;3120000;4238;2 feb. 2022;1;0;0;0; Sundbybergs kommun;3
Logdansvägen 28;Ör;81,9;3200000;3965;2 feb. 2022;0;0;1;0; Sundbybergs kommun;3
Bergsgatan 6;Sundbyberg Centrum;35;2950000;1912;2 feb. 2022;1;0;0;0; Sundbybergs kommun;2
Prästgårdsgatan 2, 2TR;Sundbyberg;51;3800000;2419;2 feb. 2022;1;0;0;1; Sundbybergs kommun;2
Tulegatan 18;Centrala Sundbyberg;85;7300000;3990;2 feb. 2022;1;0;1;0; Sundbybergs kommun;4
Vintergatan 2 D;Centrala Sundbyberg;46;3600000;2543;1 feb. 2022;1;0;1;0; Sundbybergs kommun;2
Brotorps Allé 7;Brotorp/järvastaden;69,5;4300000;3647;1 feb. 2022;1;0;1;0; Sundbybergs kommun;3
Hamngatan 21A;Centrala Sundbyberg;62;5850000;3571;1 feb. 2022;1;0;1;0; Sundbybergs kommun;2
Gamla Enköpingsvägen 160;Sundbyberg/Ursvik;77,5;3920000;3972;1 feb. 2022;1;0;1;0; Sundbybergs kommun;3
Vintergatan 28;Centrala Sundbyberg;55;4125000;3334;1 feb. 2022;1;0;1;0; Sundbybergs kommun;2
Mjölnerbacken 63;Rissne;52;2300000;2539;1 feb. 2022;1;0;1;0; Sundbybergs kommun;2
Vinthundsgatan 3, Högst upp!;Sundbyberg Järvastaden/Brotorp;88;5500000;4404;1 feb. 2022;1;0;1;0; Sundbybergs kommun;4
Hamngatan 11A;Bällsta Strand/Sundbyberg;106,5;11600000;5557;1 feb. 2022;1;0;1;0; Sundbybergs kommun;4
Forskningsringen 86;Sundbyberg/Ursvik;37,5;2200000;2931;31 jan. 2022;1;0;1;0; Sundbybergs kommun;2
Gamla Enköpingsvägen 174;Ursvik;45,5;2540000;2611;31 jan. 2022;1;0;1;0; Sundbybergs kommun;2
Hallonbergsplan 12;Hallonbergen;55;2480000;2216;31 jan. 2022;1;0;0;0; Sundbybergs kommun;2
Fredsgatan 14B;Centrala Sundbyberg;47;4065000;2550;31 jan. 2022;0;0;0;0; Sundbybergs kommun;2
Vattugatan 4;Sundbyberg;96;7800000;3256;30 jan. 2022;1;0;1;0; Sundbybergs kommun;5
Rosengatan 8;Centrala Sundbyberg;40;3500000;2473;30 jan. 2022;1;0;1;0; Sundbybergs kommun;2
Tråddragargränd 8A, vån 8;Centrala Sundbyberg;76;6450000;4117;29 jan. 2022;1;0;1;0; Sundbybergs kommun;3
Vegagatan 18;Centrala Sundbyberg;64;3750000;3105;28 jan. 2022;0;0;0;0; Sundbybergs kommun;5
Kavallerivägen 22 ;Rissne;121;3895000;6023;28 jan. 2022;1;0;1;1; Sundbybergs kommun;4
Fågelsången 5;Centrala Sundbyberg;60;4420000;3908;28 jan. 2022;1;0;1;0; Sundbybergs kommun;2
Esplanaden 18;Centrala Sundbyberg;57;4850000;1055;27 jan. 2022;1;0;1;0; Sundbybergs kommun;2
Sturegatan 14;Centrala Sundbyberg;69;5300000;3141;27 jan. 2022;1;0;1;0; Sundbybergs kommun;3
Forskningsringen 86;Ursvik;75,5;3750000;4464;27 jan. 2022;1;0;1;0; Sundbybergs kommun;3
Tulegatan 6E;Sundbyberg;7;3500000;1908;27 jan. 2022;0;0;0;0; Sundbybergs kommun;2
Vintergatan 2 C;Centrala Sundbyberg;55;4125000;3040;27 jan. 2022;1;0;1;0; Sundbybergs kommun;2
Furuvägen 23, 3tr;Centrala Sundbyberg;63;4100000;3741;27 jan. 2022;1;0;1;0; Sundbybergs kommun;2
Ågatan 14;Centrala Sundbyberg;83;6200000;4185;26 jan. 2022;1;0;0;1; Sundbybergs kommun;3
Starrbäcksgatan 11A;Centrala Sundbyberg;79;5850000;4420;26 jan. 2022;1;0;1;0; Sundbybergs kommun;3
Mariagatan 7A;Centrala Sundbyberg;54;4280000;2648;26 jan. 2022;1;0;1;0; Sundbybergs kommun;2
Logdansvägen 12;Sundbyberg/Ör;77,7;2750000;3761;26 jan. 2022;0;0;1;0; Sundbybergs kommun;3
